factor,variant,horizon,n,mean,std,t,t_nw,pct_pos,ic_for_t2,ci_lo,ci_hi
ret_12_1,raw,21,60,0.019957882942999775,0.19984146471737754,0.7735786802114422,1.0048844256519436,61.66666666666667,0.051598844315473354,-0.02052322042254506,0.06022573130654815
ret_12_1,raw,63,58,0.04087647612639104,0.15451394243384897,2.014743541212369,1.5012952234680401,62.06896551724138,0.04057734921616245,-0.010949667750930805,0.09072388348369227
ret_12_1,neutral,21,60,0.015494943572823348,0.16718583509248802,0.7179036235309019,0.8616793288678043,60.0,0.043167197002332375,-0.022062400316467036,0.05055981208824709
ret_12_1,neutral,63,58,0.03153208212091951,0.128496044470681,1.8688605083340455,1.371522899796323,65.51724137931035,0.0337447144720588,-0.0126105990154349,0.0751023224372428
ret_13w,raw,21,60,-0.004854153297078692,0.18052943376366096,-0.2082768941062052,-0.261801346527351,46.666666666666664,0.04661249936446092,-0.04459504506088035,0.031864872886837904
ret_13w,raw,63,58,-0.0035543419570071354,0.16402731347506,-0.165027770751939,-0.14389291412489205,55.172413793103445,0.04307568284794726,-0.05019062345517294,0.045255892103081695
ret_13w,neutral,21,60,0.004615985370520535,0.14963222157206932,0.2389543412312764,0.2951577952952858,56.666666666666664,0.03863487348030951,-0.027956425165159685,0.03618333109681191
ret_13w,neutral,63,58,-0.001169466842247301,0.13385814180457,-0.0665360657582542,-0.05303344714205751,51.724137931034484,0.035152870219177984,-0.04229795345445124,0.04495722915704136
volatility_26w,raw,21,60,-0.02628181268736431,0.24127046354654585,-0.8437752499834498,-0.8986553348340411,40.0,0.06229576581650105,-0.08535025249376135,0.03435022235928252
volatility_26w,raw,63,58,-0.05210928127120496,0.2262060271273029,-1.754385008706255,-1.2527739663806068,36.206896551724135,0.05940461302691155,-0.1340047097153854,0.02549369498621096
volatility_26w,neutral,21,60,-0.014895415933735421,0.19228054434484948,-0.6000575673711961,-0.6269632547584735,41.66666666666667,0.049646623069819915,-0.06269755023701712,0.033999623207262686
volatility_26w,neutral,63,58,-0.033520297656316915,0.1757762484650652,-1.4523178394165568,-1.052783300887719,43.103448275862064,0.04616110433482399,-0.09760081970705108,0.025630333570629528
beta_52w,raw,21,60,-0.03623441051099025,0.27723216122510397,-1.0124025138249404,-1.088799170907297,48.333333333333336,0.07158103623052782,-0.10486953760926357,0.03759438327312576
beta_52w,raw,63,58,-0.06642417547663543,0.2736709496725621,-1.848466012850114,-1.3152926338964912,39.6551724137931,0.07186951235767357,-0.16302435562750303,0.03049556370560345
beta_52w,neutral,21,60,-0.02291006862903586,0.20632178684995178,-0.8601157988734781,-0.9020167398518543,48.333333333333336,0.05327205629530798,-0.0748269069223707,0.03124323439619416
beta_52w,neutral,63,58,-0.04566776643290496,0.19786299555593687,-1.7577584248504348,-1.24041349567313,43.103448275862064,0.05196136828277841,-0.11974616456938451,0.02500598421639841
ep,raw,21,60,0.023985020524511513,0.1060298230642758,1.7522161664565568,1.9225437417164457,55.00000000000001,0.02737678259528395,-0.00046387326599109434,0.04874232710626536
ep,raw,63,58,0.03140215967163378,0.09920828311508975,2.410602376979321,1.8132187914632487,60.3448275862069,0.026053371531959756,-0.0020690920460987206,0.0645547715127626
ep,neutral,21,60,0.011662065053060368,0.09113738635776397,0.9911845300365596,0.8632092349898609,48.333333333333336,0.023531571972032726,-0.014075893616460137,0.037465910782378105
ep,neutral,63,58,0.015928964823507183,0.09264333954915553,1.3094452606898066,0.8620899289224923,56.896551724137936,0.02432933288882334,-0.018024625096687286,0.04915523750164281
bp,raw,21,60,0.008190493974083581,0.14295193723727478,0.4438085607218547,0.49784524645489986,48.333333333333336,0.036910031481870206,-0.023939523467107607,0.03990630451717224
bp,raw,63,58,0.023441434914840173,0.1268788847819831,1.4070477518308835,0.9475234856618845,48.275862068965516,0.03332002753188387,-0.019607754157095945,0.06853857829685417
bp,neutral,21,60,0.011203599655968477,0.11697466296767883,0.7418932234432766,0.6995906564035083,53.333333333333336,0.030202728106803037,-0.017832220484823528,0.04120853600256804
bp,neutral,63,58,0.02346573231333704,0.11156141837891374,1.6018951323685562,1.0089479874527827,55.172413793103445,0.02929746378421251,-0.015738613238076224,0.0654328899164203
fcf_yield,raw,21,60,0.017077764541747722,0.12371926306049688,1.0692255356920135,1.164068854804034,55.00000000000001,0.03194417636255726,-0.012395138341902071,0.04702337113985135
fcf_yield,raw,63,58,0.015592045577765803,0.11818305779609084,1.0047589188412491,0.7259648819082541,58.620689655172406,0.031036391487318224,-0.025698098391830026,0.05870674034375487
fcf_yield,neutral,21,60,0.009851314891178745,0.10088474657123511,0.7563874581345107,0.7474516498696522,53.333333333333336,0.026048329557116626,-0.014959461317477088,0.03676068641104206
fcf_yield,neutral,63,58,0.00891714185154128,0.10363562695512214,0.655285552752524,0.45118330690429304,50.0,0.027216048985315995,-0.02703877222040766,0.04950583084282649
net_payout_yield,raw,21,60,0.025644769145928167,0.11155963662475368,1.7806039321120437,2.0227214032360155,53.333333333333336,0.028804574317108134,0.00031650549180527865,0.05173583388777445
net_payout_yield,raw,63,58,0.03626672059647622,0.10098912784807487,2.734939109208174,1.9735148896568337,56.896551724137936,0.02652104427069036,0.00351683185235229,0.07285596924862636
net_payout_yield,neutral,21,60,0.019910484094247522,0.09539302811420548,1.61674233088875,1.5441545043987055,53.333333333333336,0.024630373948707582,-0.004574285962098959,0.046049019845488426
net_payout_yield,neutral,63,58,0.02630637031940852,0.09364150612464249,2.139471649727407,1.437693018914752,56.896551724137936,0.024591464273677335,-0.005967984536064325,0.060978106895843875
gpa,raw,21,60,0.004410980321655781,0.10924018658255095,0.31277232052897763,0.3029698506025964,53.333333333333336,0.028205694891387384,-0.024922369446544048,0.03240488171834691
gpa,raw,63,58,-0.006468722283430134,0.1137491828311398,-0.4330960449059443,-0.27203078501273154,50.0,0.029871998876530727,-0.050703881289762,0.03446377307430298
gpa,neutral,21,60,0.0007432725962928766,0.10504783529158733,0.05480707677876722,0.05487614793782879,50.0,0.027123234442630498,-0.0265137390399553,0.027290077781777833
gpa,neutral,63,58,-0.011056009828455752,0.10236568858350446,-0.8225418445853021,-0.5155326639889429,44.827586206896555,0.026882546830258394,-0.04956985548213502,0.02685784416838547
roe,raw,21,60,0.005824473662076091,0.08232133956839324,0.5480496214448256,0.6566586074798079,50.0,0.021255278479058178,-0.013687622298539771,0.02387769912689487
roe,raw,63,58,-0.008461083522084155,0.07488288223149783,-0.8605129825899315,-0.6618687168118689,43.103448275862064,0.01966520829614536,-0.03304923300529917,0.015071231279845703
roe,neutral,21,60,-0.002227884655321048,0.06224343071205274,-0.27725207523494194,-0.37125718043921063,45.0,0.016071184703906366,-0.015278783781444889,0.010294147059247657
roe,neutral,63,58,-0.015873803336654852,0.05056126222351153,-2.3909862852049812,-1.9415038070894373,34.48275862068966,0.013278037966908686,-0.03208075313573451,-0.0011263965366127792
oper_margin,raw,21,60,-0.011744732137778966,0.10168337391999827,-0.8946821928051489,-0.9831421046206233,41.66666666666667,0.026254534251888992,-0.035410132903676686,0.013704083556831666
oper_margin,raw,63,58,-0.026647481646131763,0.08760039674818078,-2.316669576771374,-1.707371335618969,41.37931034482759,0.023004991228200114,-0.05631803833085095,0.0036256099161989176
oper_margin,neutral,21,60,-0.009234349080355695,0.0921201834220649,-0.7764743593143338,-0.8815352195157871,43.333333333333336,0.023785329082881997,-0.03043040202077778,0.0129894241018993
oper_margin,neutral,63,58,-0.02653376394717457,0.07911635104518806,-2.554151236712324,-1.9355601673767047,32.758620689655174,0.020776971673242453,-0.052428928170479575,-7.435867669534908e-05
ev_ebitda_yield,raw,21,60,0.023676288378720912,0.12865734193525222,1.4254588072702132,1.44320948161918,55.00000000000001,0.033219182845502994,-0.008834498510213963,0.05564637541163521
ev_ebitda_yield,raw,63,58,0.0329775823694531,0.12280125911346866,2.0451727182506305,1.522871373346123,55.172413793103445,0.03224919056974413,-0.008589734127134922,0.07483407544654568
ev_ebitda_yield,neutral,21,60,0.017243523575472305,0.10787387756114146,1.2381844640726298,1.1310099276801497,56.666666666666664,0.02785291541900792,-0.011984733191973178,0.045458589936091996
ev_ebitda_yield,neutral,63,58,0.020160867573390827,0.10327985721593276,1.486646062409808,1.0072168061821414,51.724137931034484,0.027122619274571214,-0.016012034033048576,0.057513017656365996
